SL.NO.,GENERIC NAMES
1,White
2,Off-White
3,Cream
4,Light Beige
5,Medium Beige
6,Dark Beige
7,Muted Beige
8,Light Brown
9,Brown
10,Medium Brown
11,Dark Brown
12,Reddish Brown
13,Warm Brown
14,Soft Gold
15,Yellow
16,Yellow Gold
17,Mustard Yellow
18,Golden Yellow
19,Gold
20,Orange
21,Rust
22,Red
23,Wine Red
24,Light Pink
25,Dusty Pink
26,Pink
27,Peach
28,Dusty Purple
29,Light Blue
30,Cool Blue
31,Teal Blue
32,Aqua Blue
33,Dark Blue
34,Light Green
35,Yellow Green
36,Green
37,Olive Green
38,Grey Green
39,Dark Green
40,Green
41,Grey Beige
42,Grey Brown
43,Light Grey
44,Light Silver Grey
45,Grey
46,Pale Grey
47,Warm Grey
48,Warm Grey
49,Cool Grey
50,Medium Silver Grey
51,Dark Grey
52,Black 
53,Silver
54,Gold
55,Bronze
